"","observed","chao1","diversity_inverse_simpson","diversity_gini_simpson","diversity_shannon","diversity_fisher","diversity_coverage","evenness_camargo","evenness_pielou","evenness_simpson","evenness_evar","evenness_bulla","dominance_dbp","dominance_dmn","dominance_absolute","dominance_relative","dominance_simpson","dominance_core_abundance","dominance_gini","rarity_log_modulo_skewness","rarity_low_abundance","rarity_rare_abundance"
"X17766",209,209.285714285714,21.5854501063394,0.953672497211151,3.73040583974727,28.1566524872608,8,0.875438989322837,0.698272639600433,0.103279665580571,0.175581045458434,0.314352088532751,0.136572108034653,0.204560896891456,6432,0.136572108034653,0.0463275027888491,0.858692882622728,0.976026710376466,2.05631484323388,0.0578393069475115,0.0153940886699507
"X17769",219,219.5,13.1608605469773,0.924017126658965,3.55701416012047,30.445751697382,6,0.848882254514026,0.660042088592052,0.0600952536391657,0.231913421598317,0.30146115709224,0.224734371139115,0.309463800345935,9095,0.224734371139115,0.075982873341035,0.751124289597233,0.975202776313033,2.05848089476497,0.102100321225599,0.016234247590808
"X17794",218,218.166666666667,18.2936013413113,0.945336077826198,3.82916575942297,30.9638993187677,8,0.845542030253129,0.711146674808078,0.0839156024830792,0.2421498819331,0.356924163043397,0.152093299742407,0.28156933790019,5373,0.152093299742407,0.0546639221738021,0.875873977411045,0.969752193473308,2.05926264460508,0.0895915305573641,0.0169558694482973
"X17795",215,216,30.4034866872956,0.967109035543023,4.0211288943514,29.9769911710531,11,0.818485213307427,0.748724615826189,0.141411565987421,0.212798572463762,0.347272187279948,0.0916965658636597,0.167760123013839,3578,0.0916965658636597,0.0328909644569765,0.809251665812404,0.969040988760721,2.05633061164838,0.0860328036904152,0.0215786776012301
"X17796",254,254.75,14.2987386654106,0.930063761328889,3.6612439960935,33.7214561036652,6,0.656878100447654,0.661192519639026,0.0562942467142149,0.223417731981484,0.310924890635036,0.175778953556731,0.33083877528322,11063,0.175778953556731,0.0699362386711111,0.667731223286779,0.971291915927274,2.0556139775957,0.105089216200327,0.0652716208271764
"X17832",190,190,9.95516581243229,0.899549638967221,3.21905193386464,25.2177615533985,4,0.856115726089033,0.613500508020192,0.0523956095391173,0.205443640375085,0.274866176740488,0.263124416928166,0.359384276142821,12410,0.263124416928166,0.100450361032779,0.93902128742261,0.982429490021074,2.05965476289638,0.070032227970486,0.0152022729200237
"X17844",189,189.25,8.34282385714658,0.88013650807893,3.23252511722481,26.017001127146,4,0.926756407062252,0.616688502504547,0.0441419251700877,0.236915376995411,0.294197784182008,0.30832189106965,0.406833050642113,11452,0.30832189106965,0.11986349192107,0.900277306625744,0.979953820161755,2.05874181896426,0.0883881215841477,0.043534447944431
"X17859",249,249,6.08123672037397,0.835559764241754,2.9295803858558,34.078620672672,3,0.779179934050065,0.5309660890323,0.0244226374312208,0.269709061583554,0.253480194356936,0.354949948766454,0.490837077323244,18013,0.354949948766454,0.164440235758246,0.891109009222038,0.979339026310722,2.06046723454908,0.111570899345787,0.05901710412233
"X17864",181,181,6.66519053008567,0.849966779571244,3.02196744705929,24.0472111933055,3,0.882693659169565,0.58131560504584,0.0368242570722965,0.221177116035932,0.283154362750223,0.350642949952955,0.472064160580671,15652,0.350642949952955,0.150033220428756,0.94627895515032,0.982609334287323,2.0553010986345,0.0754962139880819,0.00763923114834897
"X17874",196,196.166666666667,4.32759385952829,0.768924711407877,2.66788510903212,26.3178511547171,2,0.933499556737589,0.505461756948846,0.0220795605077974,0.248475676433195,0.263740680123659,0.448936170212766,0.605496453900709,20256,0.448936170212766,0.231075288592123,0.928235815602837,0.983059394116644,2.05988235047093,0.0851507092198582,0.0194813829787235
"X17900",159,159,8.14134927194591,0.877170237193253,2.98700197022445,20.4027235663723,4,0.962788355383637,0.589279625548282,0.0512034545405403,0.171475154165514,0.250086618631418,0.307236349659121,0.413707997005927,15187,0.307236349659121,0.122829762806747,0.933665108939734,0.986928538868543,2.05567461178887,0.0511015354736906,0.0222937023325444
"X17935",221,221,12.9338945501508,0.922683767358507,3.57637737438876,30.1214179263179,7,0.845636945498786,0.662517521634393,0.0585244097291889,0.218465348978463,0.300345544200166,0.237921190362905,0.319607249448506,11001,0.237921190362905,0.0773162326414934,0.917665123924045,0.975716883318032,2.05706634311444,0.0709805787447554,0.00317920325273591
"X17938",185,185,10.0407393771672,0.900405740808887,3.311868740878,24.6749071610151,4,0.872804224959271,0.634414367880432,0.0542742669036063,0.207723417622686,0.312723552280563,0.266070103649077,0.355329720979383,11834,0.266070103649077,0.0995942591911128,0.921937181014907,0.979537869953557,2.05875924903404,0.0861344065472042,0.00431683791622639
"X17948",231,231.375,15.9808692366371,0.937425180996573,3.55433981767886,31.4289272272145,5,0.825339724181644,0.653081039848756,0.0691812521066542,0.206440769987637,0.288227491811241,0.121311945001432,0.236055980685027,5929,0.121311945001432,0.0625748190034268,0.937819699635798,0.976084825458322,2.05696283324577,0.0989278553013872,0.0085116831034906
"X17954",231,231.285714285714,15.5201443775421,0.935567609702973,3.82827981210055,32.6442180479455,8,0.901227291342305,0.703415286316477,0.0671867721971521,0.225169259301146,0.359339987295752,0.212801782198736,0.29165371464097,8215,0.212801782198736,0.0644323902970268,0.884286602424619,0.968461185404998,2.05774587454695,0.0933582012226712,0.016526784789141
"X17957",217,217.0625,12.627766092275,0.920809429578226,3.42403672693195,28.6432060562848,5,0.878574766360924,0.636450196336669,0.0581924704713134,0.204802346598709,0.282273858007559,0.195408884989346,0.341092628073128,10913,0.195408884989346,0.0791905704217744,0.942002256164163,0.978634225061514,2.05645517635548,0.0883664297097427,0.0165272977957635
"X17964",181,181,10.7451261929817,0.906934550414759,2.98254938049235,23.6123762810941,4,0.916542775791293,0.573733016014843,0.059365338082772,0.181848689341678,0.204131993406288,0.200293936565312,0.325356000873866,10085,0.200293936565312,0.0930654495852415,0.961927270560664,0.987782795702007,2.05856245657245,0.0533256539095549,0.00699092371551702
"X17972",223,223,12.2861419199225,0.918607484227538,3.27590494995011,29.7539334193035,4,0.833963512540091,0.605844439276155,0.055094806815796,0.218369470527212,0.258812198004166,0.143583607538139,0.281240652108884,7680,0.143583607538139,0.0813925157724621,0.956812743045169,0.980437812817058,2.05771657788078,0.0868232126832187,0.0117970385880946
"X17973",231,231,13.9722595493044,0.928429614661017,3.71525068684656,31.5220757476804,7,0.879285897048849,0.682647103632616,0.0604859720749107,0.223120369315139,0.330741618662159,0.227520066715313,0.307411654331283,10913,0.227520066715313,0.0715703853389831,0.896445324715939,0.971150369882391,2.05635905334454,0.100198061086209,0.0158240383613051
"X17994",203,203.0625,33.3806349520233,0.970042511131461,4.03813293026516,28.2853949997717,12,0.857391486386051,0.76001814087272,0.164436625379425,0.191608012884307,0.355110863198996,0.0896434267794869,0.144278337974102,3316,0.0896434267794869,0.029957488868539,0.80927793247006,0.969650256712391,2.05187499269959,0.0831012949095726,0.0050012165121246
"X17996",150,150,23.6405393665406,0.95769978068202,3.57172148229352,19.5758998893146,8,0.911515894182945,0.712828069227444,0.157603595776937,0.15290841254851,0.305242136601588,0.0829428866623417,0.15841322472909,3452,0.0829428866623417,0.0423002193179797,0.821619933203585,0.98147995946538,2.04895197413797,0.0451716763977991,0.00168192412119461
"X18004",154,154.25,6.02214855006805,0.833946308084894,2.76161095536941,20.9431977022474,3,0.956620133447162,0.548270189011921,0.0391048607147276,0.237267450447066,0.253221768570324,0.361243726282287,0.488493083608765,11804,0.361243726282287,0.166053691915106,0.948463704247766,0.986601429677783,2.05996561353682,0.061023381074795,0.00605949320602273
"X18014",142,142.125,13.4284109094368,0.925531024724805,3.35282762984886,18.1391678394079,6,0.959794681633711,0.676542500551202,0.0945662740101181,0.16134270605673,0.319230878279203,0.217831568773887,0.295611299037912,9917,0.217831568773887,0.0744689752751946,0.860541229187717,0.983354611910901,2.0462813674738,0.0347054430435356,0.0462373149409129
"X17763",205,205,11.3523342099513,0.911912388984865,3.33179076262533,28.0592181719626,4,0.717325735366701,0.625922321333807,0.0553772400485429,0.24403273558456,0.302229237601116,0.17225854347774,0.327633690159734,7193,0.17225854347774,0.088087611015135,0.901046531120531,0.977745978676992,2.060493248788,0.100270613310343,0.02959982757382
"X17770",257,257.083333333333,24.8175557003685,0.959705943160827,3.99423100583989,36.5085510301406,9,0.850156166615252,0.71980108845729,0.0965663645928735,0.235987172734435,0.326722031884598,0.118502319098315,0.202134051092259,4931,0.118502319098315,0.0402940568391734,0.770397250726971,0.966222568196471,2.056462529197,0.117805387998366,0.02357549686381
